,OD600,OD_sub,blank_val,date,doubling_time,doubling_time_std,growth_rate,growth_rate_std,logOD_fit,logOD_fit_std,media,misc,operator,repressor,run_number,selection,strain,temp_C,time_min,volume_marker,well
0,0.078,-0.00016666666666667607,0.07816666666666668,20190503,-4336.941745293791,10887.373749612905,-0.00015982395459014642,0.0004012189302870635,-2.5500230346192865,0.004859055999019088,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,5.466666666666668,mCh,B02
1,0.078,-0.0006666666666666765,0.07866666666666668,20190503,-7174.039935375498,21979.336789287,-9.661880708831949e-05,0.00029601414548888644,-2.550782856526144,0.0034007679576438465,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,11.466666666666667,mCh,B02
2,0.078,0.0,0.078,20190503,-13628.041450889998,56970.415135806885,-5.0861833892842934e-05,0.00021262187981197265,-2.5512173516243273,0.002717504665968057,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,17.466666666666665,mCh,B02
3,0.078,-0.00033333333333333826,0.07833333333333334,20190503,-35569.2803989144,275388.2495076838,-1.948724215913855e-05,0.0001508761899524201,-2.551421952727292,0.002533994296326286,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,23.466666666666665,mCh,B02
4,0.078,-0.00016666666666667607,0.07816666666666668,20190503,1675380.8933612574,448760192.25970405,4.1372513158444146e-07,0.00011081860269996006,-2.55147413050463,0.0025235899609461028,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,29.466666666666665,mCh,B02
5,0.078,-0.00033333333333333826,0.07833333333333334,20190503,60156.336452768024,474486.53240253555,1.15224300785699e-05,9.088382396963169e-05,-2.551434553533099,0.0025097572255922346,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,35.46666666666667,mCh,B02
6,0.078,-0.0005000000000000004,0.0785,20190503,42689.75679297169,223208.82222019625,1.6236850069711872e-05,8.489643541897564e-05,-2.5513486282019855,0.0024492982420669224,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,41.46666666666667,mCh,B02
7,0.078,0.0,0.078,20190503,41677.438324203074,211583.66010198512,1.6631232830771614e-05,8.443170347874884e-05,-2.551248328087933,0.002356454363014813,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,47.46666666666667,mCh,B02
8,0.078,-0.00033333333333333826,0.07833333333333334,20190503,48028.58184132372,279706.2918913492,1.443197267098073e-05,8.404815228177586e-05,-2.551154216846008,0.002259986391043775,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,53.46666666666667,mCh,B02
9,0.078,-0.00016666666666667607,0.07816666666666668,20190503,62958.575218568054,468034.37681429996,1.1009575393877702e-05,8.184524094731887e-05,-2.5510775673362005,0.0021834486090336735,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,59.46666666666667,mCh,B02
10,0.078,0.0,0.078,20190503,93847.43458899476,989224.620649545,7.385893749739525e-06,7.785303854859681e-05,-2.551022482575867,0.002137030199427712,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,65.46666666666667,mCh,B02
11,0.078,0.0,0.078,20190503,162894.72433265622,2790419.6386907008,4.255184957030478e-06,7.289218063386174e-05,-2.550987930943208,0.0021175011406482547,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,71.46666666666667,mCh,B02
12,0.078,0.0001666666666666622,0.07783333333333334,20190503,343653.2153507022,11582415.858077435,2.016996057646603e-06,6.798041188098531e-05,-2.550969618435051,0.0021137523359452933,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,77.46666666666667,mCh,B02
13,0.078,-0.00016666666666667607,0.07816666666666668,20190503,846905.6708676443,66202558.43124211,8.184467342742252e-07,6.397792530204526e-05,-2.550961634115886,0.0021136288402202135,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,83.46666666666667,mCh,B02
14,0.078,0.0001666666666666622,0.07783333333333334,20190503,1149169.6096980108,116872732.68315585,6.03172216451231e-07,6.134376041647714e-05,-2.5509578204658965,0.0021085204171329827,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,89.46666666666668,mCh,B02
15,0.078,0.0,0.078,20190503,595474.9729559973,30715326.941033047,1.164024034661093e-06,6.004178246879547e-05,-2.5509528373294827,0.0020948952556812147,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,95.46666666666668,mCh,B02
16,0.078,0.0,0.078,20190503,315553.2721991569,8569933.577496244,2.1966090724689913e-06,5.965646851192812e-05,-2.5509429057031454,0.0020736831277916525,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,101.46666666666668,mCh,B02
17,0.078,0.0001666666666666622,0.07783333333333334,20190503,206855.53782011886,3681799.6974462043,3.350875629748451e-06,5.964187862602042e-05,-2.550926234807207,0.0020486191752265297,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,107.46666666666668,mCh,B02
18,0.078,0.0,0.078,20190503,162017.68322844247,2254834.2583723664,4.278219307596309e-06,5.95408801519313e-05,-2.5509031519030643,0.0020243237804060785,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,113.46666666666668,mCh,B02
19,0.078,0.0,0.078,20190503,148363.10385180614,1876454.1389779977,4.671964676961071e-06,5.9089674101179055e-05,-2.5508759683889224,0.0020046285156372127,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,119.46666666666668,mCh,B02
20,0.078,-0.00016666666666667607,0.07816666666666668,20190503,161213.59306573926,2183174.9704403584,4.299557918030494e-06,5.822515987702821e-05,-2.5508486271713977,0.001991509571017953,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,125.46666666666668,mCh,B02
21,0.078,-0.00016666666666667607,0.07816666666666668,20190503,229112.8169971845,4319769.005941464,3.0253531410617818e-06,5.704101107074659e-05,-2.5508261846861444,0.001984816740714579,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,131.46666666666667,mCh,B02
