time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
14.116666666666667,36.9,0.045,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
29.116666666666667,37.0,0.045,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
44.11666666666667,37.0,0.046,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
59.11666666666667,37.1,0.046,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
74.11666666666666,37.0,0.047,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
89.11666666666666,37.0,0.048,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
104.11666666666666,37.0,0.05,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
119.11666666666666,37.1,0.053,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
134.11666666666667,37.0,0.057,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
149.11666666666667,37.1,0.061,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
164.11666666666667,37.0,0.064,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
179.11666666666667,37.1,0.066,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
194.11666666666667,37.1,0.071,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
209.11666666666667,37.1,0.075,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
224.11666666666667,37.1,0.086,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
239.11666666666667,37.1,0.094,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
254.11666666666667,37.1,0.10300000000000001,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
269.1166666666667,37.1,0.114,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
284.1166666666667,37.0,0.125,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
299.1166666666667,37.0,0.13699999999999998,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
314.1166666666667,37.0,0.151,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
329.1166666666667,37.0,0.16699999999999998,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
344.1166666666667,37.0,0.184,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
359.1166666666667,37.0,0.201,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
374.1166666666667,37.0,0.22,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
389.1166666666667,37.1,0.242,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
404.1166666666667,37.0,0.26,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
419.1166666666667,37.0,0.284,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
434.1166666666667,37.0,0.306,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
449.1166666666667,37.1,0.32799999999999996,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
464.1166666666667,37.1,0.345,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
479.1166666666667,37.1,0.358,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
494.1166666666667,37.0,0.395,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
509.1166666666667,37.1,0.414,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
524.1166666666667,37.0,0.428,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
539.1166666666667,37.1,0.44299999999999995,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
554.1166666666667,37.0,0.45899999999999996,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
569.1166666666667,37.0,0.46799999999999997,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
584.1166666666667,37.0,0.47600000000000003,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
599.1166666666667,37.0,0.48,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
614.1166666666667,37.1,0.49200000000000005,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
629.1166666666667,37.0,0.49200000000000005,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
644.1166666666667,37.0,0.499,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
659.1166666666667,37.1,0.505,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
674.1166666666667,37.0,0.513,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
689.1166666666667,37.0,0.524,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
704.1166666666667,37.0,0.53,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
