time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,logOD_fit,logOD_fit_std,growth_rate,growth_rate_std,doubling_time,doubling_time_std
14.45,37.1,0.043,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031000000000000014,0.011999999999999983,-3.154980257974202,0.006853749697633508,-0.00017478031834572416,0.00031193582761327793,-3965.819419031299,7077.920296456547
29.45,37.1,0.043,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031000000000000014,0.011999999999999983,-3.1519666791402443,0.004449286315086201,0.0005595610860960609,0.00020482622029890818,1238.733710730112,453.4360058807457
44.45,37.1,0.044,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.012937499999999984,-3.1387124633103127,0.0038235145857627977,0.0011903174470258016,0.00012942275555036592,582.3212810094352,63.31556761784274
59.45,37.0,0.044,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031125000000000014,0.012874999999999984,-3.11676934898324,0.0038045833089927934,0.0017188440713717945,8.644191280225997e-05,403.26356072936306,20.280416434212036
74.45,37.0,0.046,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.014937499999999986,-3.0876213479360217,0.003742363267734616,0.002152709499467109,7.18676504587206e-05,321.98825746415383,10.749494785513162
89.45,37.0,0.047,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031000000000000014,0.015999999999999986,-3.052597431087122,0.0035682171599355056,0.002504839712879625,7.064730376486866e-05,276.723167951967,7.804789106686796
104.45,37.1,0.049,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.017937499999999988,-3.012800084294952,0.0033807047646871387,0.002792270499759164,6.999842576346278e-05,248.2378339132007,6.222985054762675
119.45,37.0,0.051,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.019937499999999983,-2.969054965373857,0.003260570482020928,0.003034599339045374,6.645030658787846e-05,228.4147273221235,5.001724103886656
134.45,37.1,0.053,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.021937499999999985,-2.921885308509303,0.003218455765143106,0.0032522554654217384,6.10399469653265e-05,213.12814689053369,4.000094986796955
149.45,37.0,0.057,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.02593749999999999,-2.871512793647838,0.0032156146957107346,0.003464724870854363,5.588790681825933e-05,200.05836145628,3.2270507702752016
164.45,37.0,0.066,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.03493749999999999,-2.817884480818236,0.0032097076250709564,0.0036888738368023866,5.2562304057460304e-05,187.90211084063085,2.6773937846584412
179.45,37.0,0.063,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031125000000000014,0.03187499999999999,-2.7607232810069036,0.003181434911532609,0.00393750909225965,5.127992732953693e-05,176.03697269487785,2.292607573872172
194.45,37.0,0.07,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.03893749999999999,-2.699597482347059,0.003135330568964085,0.00421829490207648,5.113868694472114e-05,164.3192798632309,1.992054232095372
209.45,37.0,0.071,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.03981249999999998,-2.634003249652153,0.0030877838508838857,0.004533118529639224,5.1050955936815004e-05,152.90735859384435,1.7220080999316774
224.45,37.0,0.077,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.045812499999999985,-2.563452916569446,0.0030535457295111225,0.004877957919164566,5.041092024994609e-05,142.0978188099373,1.4685001245246234
239.45,37.1,0.083,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031125000000000014,0.05187499999999999,-2.4875614005648288,0.003037473769950597,0.005243262358653578,4.9196722404942745e-05,132.19769165583756,1.2403905610850545
254.45,37.0,0.09,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.05893749999999998,-2.40612324524281,0.003034272353935007,0.005614812198702301,4.7763959652237345e-05,123.44975326514854,1.0501596180541888
269.45,37.0,0.104,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.07293749999999999,-2.319173625195333,0.003034112166002406,0.005974981561293058,4.6551764629799474e-05,116.00825432671961,0.9038335759085855
284.45,37.1,0.108,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.07681249999999998,-2.2270280670593365,0.003029105816855176,0.006304292375137244,4.582657361351807e-05,109.94845088301533,0.7992270152243834
299.45,37.1,0.119,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.08781249999999999,-2.1302975217874405,0.003016815739021512,0.006583122463227342,4.557014464636999e-05,105.29155190896046,0.7288564472762113
314.45,37.0,0.132,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031125000000000014,0.10087499999999999,-2.0298775972785847,0.0029999798455602592,0.006793417309234051,4.555285615089317e-05,102.03218041938553,0.6841707237811786
329.45,37.0,0.147,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.11593749999999997,-1.926913028132617,0.002983732385385125,0.0069202558736527475,4.550756512679985e-05,100.16207394858631,0.658665255544185
344.45,37.0,0.16399999999999998,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031125000000000014,0.13287499999999997,-1.8227406111997198,0.002972305017001706,0.006953135399160759,4.527336866336663e-05,99.68843417655981,0.6490929591985071
359.45,37.0,0.182,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.15093749999999997,-1.7188156731024264,0.002966948840874516,0.006886867150790843,4.4844402000069226e-05,100.64767700366468,0.6553756285842051
374.45,37.0,0.202,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.1709375,-1.6166284908121042,0.0029658778143505297,0.006722011852648868,4.4332717596039985e-05,103.1160306994705,0.6800663207433663
389.45,37.0,0.223,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.1918125,-1.517617837508567,0.002965817765534153,0.0064648266006984145,4.388519100495003e-05,107.21821687917546,0.7278295641285176
404.45,37.1,0.245,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.2138125,-1.4230889114805905,0.0029639762940988205,0.006126740028739308,4.360059885984736e-05,113.13474658766832,0.8051170247049663
419.45,37.1,0.268,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.2368125,-1.3341423291224714,0.0029593223985202306,0.005723415082276528,4.3486738332320274e-05,121.10727085064764,0.9201779220822721
434.45,37.0,0.29100000000000004,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031125000000000014,0.259875,-1.2516196919896174,0.002952703301846736,0.005273494790525468,4.347346291852071e-05,131.43981516873328,1.0835592254725195
449.45,37.1,0.312,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.2809375,-1.176069597220021,0.002946006289878552,0.004797152504565472,4.346391069926957e-05,144.49137897956632,1.309143369281116
464.45,37.0,0.333,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.3019375,-1.1077360190323873,0.0029409765458298285,0.004314581830717978,4.338810414260769e-05,160.6522272042759,1.615543716207851
479.45,37.1,0.353,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031062500000000014,0.3219375,-1.0465689409124082,0.002938343274096411,0.0038445618667196646,4.3231116005199045e-05,180.29289281573364,2.0273475195446076
494.45,37.1,0.37,O1_R0_T_mCherry,C04,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200313,1,0.031187500000000014,0.33881249999999996,-0.992255163467405,0.002937634038594761,0.003403220667173801,4.3028349691282606e-05,203.6738866937971,2.575134578893239
