time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
14.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
29.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
44.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
59.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
74.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
89.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
104.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
119.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
134.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
149.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
164.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
179.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
194.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
209.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
224.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
239.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
254.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
269.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
284.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
299.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
314.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
329.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
344.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
359.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
374.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
389.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
404.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
419.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
434.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
449.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
464.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
479.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
494.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
509.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
524.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
539.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
554.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
569.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
584.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
599.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
614.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
629.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
644.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
659.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
674.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
689.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
704.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
719.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
734.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
