time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,logOD_fit,logOD_fit_std,growth_rate,growth_rate_std,doubling_time,doubling_time_std
14.45,37.0,0.043,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031062500000000014,0.011937499999999983,-3.1422263670488633,0.007858414887328932,0.0003846217613183156,0.0002756675936406599,1802.1527907941015,1291.6459055988216
29.45,37.0,0.044,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031187500000000014,0.012812499999999984,-3.1339641186313543,0.005428574991141552,0.0007185634776521455,0.000200088592538574,964.6290162488551,268.6071143133423
44.45,37.0,0.044,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031187500000000014,0.012812499999999984,-3.1206155018921606,0.004383180339724232,0.0010632757579481789,0.0001409777530252942,651.897849996621,86.4339221575886
59.45,37.0,0.045,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031062500000000014,0.013937499999999985,-3.101999548327484,0.004156872789299787,0.0014212177299201545,9.861117746130805e-05,487.71357545538575,33.84000137841094
74.45,37.0,0.046,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031062500000000014,0.014937499999999986,-3.0779047929972023,0.004154328085058781,0.0017939582950899369,7.318254078120186e-05,386.3786479636059,15.76188880141422
89.45,37.0,0.047,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031062500000000014,0.015937499999999986,-3.048104242410062,0.004107091674958065,0.0021819681569940352,6.256183038542226e-05,317.67062151578415,9.108316030185078
104.45,37.0,0.049,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031250000000000014,0.017749999999999988,-3.0123731022520133,0.003977669849434156,0.002584461843677388,6.045281255778463e-05,268.1978773475245,6.273381844405934
119.45,37.0,0.051,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031187500000000014,0.019812499999999983,-2.970508429574977,0.0038116008211983863,0.0029993007044022413,6.045406522090025e-05,231.10292994049394,4.658123001424159
134.45,37.0,0.054000000000000006,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031000000000000014,0.022999999999999993,-2.922349729828426,0.003663860338217975,0.0034229650199517417,5.9487470757628654e-05,202.49905462654058,3.519216971347727
149.45,37.0,0.057,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031125000000000014,0.02587499999999999,-2.8677994221329186,0.0035670818695502774,0.003850599933765686,5.6973914829646585e-05,180.01017827943593,2.6634510835126823
164.45,37.1,0.06,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031062500000000014,0.028937499999999984,-2.806842054058052,0.003523510062356283,0.004276136060267624,5.3448734361518116e-05,162.0966149792166,2.0260952394445546
179.45,37.0,0.065,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031062500000000014,0.03393749999999999,-2.739561164679486,0.0035140426996859075,0.004692481564486983,4.9789917341994664e-05,147.71441742163248,1.5673345824743898
194.45,37.0,0.07,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031187500000000014,0.03881249999999999,-2.666152773261956,0.0035141169265193676,0.005091778463221341,4.679039808360462e-05,136.1306634934431,1.2509593616949428
209.45,37.1,0.075,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031187500000000014,0.04381249999999998,-2.586934608540844,0.003505729668440873,0.005465712111609539,4.488044253670836e-05,126.8173600083426,1.0413316915141024
224.45,37.0,0.081,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031187500000000014,0.04981249999999999,-2.5023503845865207,0.0034818245061913077,0.005805859543515923,4.4021052108851716e-05,119.38752141085864,0.9052172657265807
239.45,37.1,0.08900000000000001,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031125000000000014,0.057874999999999996,-2.4129686646403172,0.0034449499884041694,0.006104059742183643,4.382844725484449e-05,113.55511083382376,0.8153498484465738
254.45,37.1,0.098,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031250000000000014,0.06674999999999999,-2.319476122198722,0.003403195208468397,0.006352787206560129,4.38306338887381e-05,109.10914501341635,0.7527913077362136
269.45,37.0,0.107,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031187500000000014,0.07581249999999998,-2.2226652947192918,0.0033655941348655913,0.006545509478042555,4.367277997909762e-05,105.89659718394175,0.7065605519117619
284.45,37.0,0.118,O2_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0.0,mCherry,20200314,1,0.031125000000000014,0.08687499999999998,-2.1234172138578344,0.0033384560988981514,0.006677009673502432,4.3195628392511456e-05,103.81101937154365,0.6715854005149022
