time_min,temp_C,OD600,YFP,strain,well,media,neg_selection,pos_selection,operator,repressor,volume_marker,date,run_number
18.3,37.1,0.031,33.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
38.3,37.1,0.031,32.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
58.3,37.0,0.031,35.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
78.3,37.1,0.031,32.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
98.3,37.1,0.031,37.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
118.3,37.0,0.031,36.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
138.3,37.0,0.031,27.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
158.3,37.0,0.031,27.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
178.3,37.0,0.031,27.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
198.3,37.0,0.031,32.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
218.3,37.0,0.031,31.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
238.3,37.0,0.031,40.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
258.3,37.1,0.031,35.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
278.3,37.0,0.031,26.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
298.3,37.0,0.031,26.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
318.3,37.0,0.031,32.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
338.3,37.0,0.031,31.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
358.3,37.0,0.031,33.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
378.3,37.0,0.031,33.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
398.3,37.1,0.031,32.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
418.3,37.0,0.031,34.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
438.3,37.1,0.031,33.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
458.3,37.1,0.031,31.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
478.3,37.1,0.031,31.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
498.3,37.1,0.031,34.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
518.3,37.0,0.03,34.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
538.3,37.1,0.03,39.0,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,0_ugmL_tetracycline,blank,,blank,20200616,1
