time_min,temp_C,OD600,YFP,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
18.95,37.0,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
38.95,37.1,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
58.95,37.0,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
78.95,37.0,0.031,25,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
98.95,37.0,0.031,37,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
118.95,37.0,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
138.95,37.1,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
158.95,37.0,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
178.95,37.1,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
198.95,37.0,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
218.95,37.0,0.031,23,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
238.95,37.0,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
258.95,37.0,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
278.95,37.0,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
298.95,37.1,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
318.95,37.1,0.031,41,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
338.95,37.0,0.031,34,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
358.95,37.1,0.031,35,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
378.95,37.0,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
398.95,37.1,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
418.95,37.1,0.031,45,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
438.95,37.1,0.031,36,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
458.95,37.1,0.031,38,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
478.95,37.1,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
498.95,37.0,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
518.95,37.1,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
538.95,37.0,0.031,36,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
558.95,37.0,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
578.95,37.1,0.031,27,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
598.95,37.0,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
618.95,37.1,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
638.95,37.0,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
658.95,37.1,0.031,29,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
678.95,37.1,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
698.95,37.0,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
718.95,37.0,0.031,36,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
738.95,37.1,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
758.95,37.0,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
778.95,37.0,0.03,36,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
798.95,37.0,0.031,34,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
818.95,37.0,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
838.95,37.0,0.031,39,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
858.95,37.0,0.031,32,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
878.95,37.1,0.031,35,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
898.95,37.1,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
918.95,37.1,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
938.95,37.1,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
958.95,37.0,0.031,40,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
978.95,37.1,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
998.95,37.0,0.031,36,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
1018.95,37.1,0.031,33,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
1038.95,37.0,0.031,31,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
1058.95,37.0,0.031,30,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200618,1
