time_min,temp_C,OD600,YFP,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,gp_OD600,gp_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
18.95,37.0,0.136,27.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.105,0.138319,0.004873336115434583,-0.0001888255,7.500731922049363e-05,-3629.89,168471.69356551042
38.95,37.0,0.139,36.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.108,0.13952150000000002,0.004298955933665752,0.0002917585,5.5030301218186814e-05,2375.755,526.8850496026527
58.95,37.0,0.152,30.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.12093749999999998,0.1498565,0.0041379765109810646,0.000711731,3.958042040727387e-05,973.8895,54.34918551784839
78.95,37.0,0.172,31.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031187500000000014,0.14081249999999998,0.1676105,0.004132390448599456,0.0010733750000000001,2.8715557285432813e-05,645.765,17.310088725733753
98.95,37.1,0.2,37.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.1689375,0.192156,0.004051642639659129,0.0013766249999999998,2.1239558747090297e-05,503.51099999999997,7.76806996239291
118.95,37.0,0.223,36.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.19193749999999998,0.222287,0.004075908712220012,0.0016262149999999999,1.739177574142158e-05,426.2335,4.5607888016346445
138.95,37.0,0.254,31.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.030937500000000014,0.2230625,0.256814,0.004211326476294138,0.001824195,1.6945059609192888e-05,379.97450000000003,3.5334512068218795
158.95,37.0,0.29,39.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.2589375,0.294655,0.0041320158667996435,0.0019726500000000003,1.6667199875431993e-05,351.37850000000003,2.97011412201198
178.95,37.0,0.327,34.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.2959375,0.335474,0.003973135086125188,0.002076475,1.7053490466174372e-05,333.80899999999997,2.743904544919702
198.95,37.1,0.37,44.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.33899999999999997,0.3775655,0.0039295845146656416,0.002139695,1.7454177436144058e-05,323.947,2.6428745076336857
218.95,37.0,0.415,38.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.3839375,0.4208645,0.004031146476629696,0.002165305,1.7255834050882616e-05,320.1155,2.5524989164877243
238.95,37.0,0.461,46.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.42993750000000003,0.46404999999999996,0.003972725471087953,0.00215921,1.5832576063344847e-05,321.0195,2.3561633835504714
258.95,37.0,0.507,49.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.476,0.5068515,0.003969085794829709,0.00212272,1.5593884421756505e-05,326.5375,2.401085376924152
278.95,37.0,0.551,41.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.5199375,0.5490174999999999,0.003946117971004413,0.002062,1.466523013934661e-05,336.153,2.3933461143660355
298.95,37.0,0.594,51.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.5629375,0.589269,0.004001671536100759,0.001979715,1.4129833596950102e-05,350.125,2.499531156820415
318.95,37.0,0.634,51.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.603,0.62793,0.0038657517540358183,0.001878505,1.3545205815250645e-05,368.9885,2.6602715782295605
338.95,37.0,0.6709999999999999,47.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.6399374999999999,0.664655,0.004043911639610215,0.00176434,1.2715002511486185e-05,392.865,2.828570166595838
358.95,37.1,0.7070000000000001,60.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.6759375000000001,0.6985215,0.003800929935881347,0.00164101,1.3296411594768718e-05,422.3905,3.4252170667325608
378.95,37.0,0.738,62.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.7069375,0.729893,0.0038037892973186607,0.00150991,1.3362059924487695e-05,459.06600000000003,4.065067182765864
398.95,37.1,0.765,64.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.7339375,0.7587600000000001,0.004035103133226586,0.001374345,1.3121990938020791e-05,504.346,4.814587342649421
418.95,37.0,0.7859999999999999,75.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.7549374999999999,0.7848995,0.003926033444250699,0.0012379650000000002,1.360298535219016e-05,559.9095,6.169464227883651
438.95,37.0,0.807,71.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.7758750000000001,0.8082715,0.003933651939654929,0.001101505,1.3477135054662035e-05,629.273,7.696193040489492
458.95,37.1,0.8240000000000001,67.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.793,0.8290310000000001,0.004027038819650858,0.0009678670000000001,1.339212183224865e-05,716.1595,9.914928508809279
478.95,37.1,0.843,62.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8118749999999999,0.8471915,0.003996925784058417,0.0008401485,1.3105971199327436e-05,825.029,12.87600753773929
498.95,37.1,0.857,70.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8258749999999999,0.8625434999999999,0.00406514336680504,0.000717858,1.3816287250382392e-05,965.577,18.63390689318921
518.95,37.0,0.871,87.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8398749999999999,0.8758619999999999,0.003951665876699469,0.0006031885,1.2735755316132447e-05,1149.1399999999999,24.306232806677396
538.95,37.0,0.8809999999999999,72.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8498749999999999,0.8868665,0.003953162620219413,0.0004964505,1.2663071389176294e-05,1396.205,35.74955817964751
558.95,37.1,0.89,68.0,O1_R0_T_mCherry,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.858875,0.8957815,0.003925204344438643,0.000399028,1.2393356840451859e-05,1737.09,54.27943929313841
