time_min,temp_C,OD600,YFP,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,gp_OD600,gp_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
18.95,37.1,0.08900000000000001,29.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031687500000000014,0.057312499999999995,0.08742975,0.0021650517187085023,0.0005366515,6.751905425664666e-05,1291.615,183.74588244611894
38.95,37.0,0.095,31.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031437500000000014,0.0635625,0.09773625,0.001736593062955925,0.0005114690000000001,3.7627504421050784e-05,1355.205,102.91497884594946
58.95,37.1,0.107,34.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031750000000000014,0.07524999999999998,0.1082055,0.0017027783063366037,0.000538397,2.3787833243500058e-05,1287.425,57.06998147887282
78.95,37.0,0.121,27.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031375000000000014,0.08962499999999998,0.119565,0.0017743107487877894,0.0006150615,1.8367382072755956e-05,1126.955,33.49464045777409
98.95,37.0,0.135,33.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031375000000000014,0.103625,0.13317299999999999,0.0017031418450543102,0.0007400445,1.734644101780527e-05,936.6285,22.089833753923756
118.95,37.0,0.15,36.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031437500000000014,0.11856249999999999,0.149575,0.001746987122142164,0.0009019355,1.6772168988530446e-05,768.511,14.284806685122078
138.95,37.1,0.17,43.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031250000000000014,0.13874999999999998,0.169325,0.0017169933860603536,0.00109668,1.7795457904874667e-05,632.0405000000001,10.354168782907232
158.95,37.0,0.193,33.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031687500000000014,0.1613125,0.193461,0.0016869115186932606,0.00130381,1.5664072555125066e-05,531.631,6.412603957921892
178.95,37.0,0.221,40.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031187500000000014,0.1898125,0.221654,0.0017355199037720342,0.001515995,1.4371719042001276e-05,457.222,4.3390765722405344
198.95,37.0,0.253,26.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031375000000000014,0.221625,0.2539895,0.0016454130883256442,0.00171679,1.3946482386091328e-05,403.74649999999997,3.285176592024984
218.95,37.1,0.289,28.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031812500000000014,0.25718749999999996,0.290045,0.001748600018960407,0.0018944,1.4233115201050992e-05,365.8925,2.747833320987748
238.95,37.1,0.329,39.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031437500000000014,0.2975625,0.32943599999999995,0.0017790556136886846,0.00203721,1.4765445036742235e-05,340.24350000000004,2.457843679754334
258.95,37.0,0.371,38.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031250000000000014,0.33975,0.37119,0.001738205863775603,0.00213932,1.5472420890805105e-05,324.0035,2.339256499460172
278.95,37.1,0.415,46.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031687500000000014,0.38331249999999994,0.414822,0.0017016151490438587,0.002193285,1.4096225180670422e-05,316.03099999999995,2.0330684272458415
298.95,37.0,0.46,45.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031937500000000014,0.4280625,0.4587315,0.0017349728021235186,0.002201355,1.3147622583527758e-05,314.873,1.8853587824749831
318.95,37.1,0.505,38.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031375000000000014,0.47362499999999996,0.5024975,0.0017615083287121382,0.002164225,1.373487258509845e-05,320.2745,2.0345611387491727
338.95,37.0,0.546,48.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031312500000000014,0.5146875000000001,0.5449405,0.0016633162558166385,0.002084995,1.4256867474191748e-05,332.446,2.279833059054008
358.95,37.0,0.585,48.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031812500000000014,0.5531874999999999,0.5855655,0.001620041674923485,0.00197574,1.4005506369906796e-05,350.82950000000005,2.496950963873519
378.95,37.0,0.623,49.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.032250000000000015,0.59075,0.6238159999999999,0.0017454653506467366,0.00184229,1.3862273807833027e-05,376.2425,2.832312057685086
398.95,37.1,0.657,51.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031875000000000014,0.625125,0.6593005000000001,0.0017215507868585597,0.0016961049999999998,1.3168360646261176e-05,408.67049999999995,3.176270305938852
418.95,37.1,0.6940000000000001,70.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031687500000000014,0.6623125000000001,0.6914724999999999,0.0017151935447348187,0.0015436949999999999,1.3723689069108041e-05,449.01800000000003,3.9968955427042228
438.95,37.0,0.718,66.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.032125000000000015,0.685875,0.721049,0.0016542927589221382,0.001393105,1.3817451394271504e-05,497.55499999999995,4.917193512423752
458.95,37.1,0.746,67.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031250000000000014,0.71475,0.7474105,0.0017189190687100407,0.001251005,1.393772867276284e-05,554.072,6.151611222909183
478.95,37.0,0.7709999999999999,65.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031750000000000014,0.7392499999999999,0.77124,0.0016312240888057038,0.0011200099999999998,1.3788775818638388e-05,618.8745,7.591672148081443
498.95,37.1,0.797,71.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031625000000000014,0.765375,0.7924154999999999,0.0016723116218243805,0.00100323,1.3002481036938891e-05,690.9169999999999,8.953083221043647
518.95,37.1,0.813,76.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031625000000000014,0.7813749999999999,0.8113634999999999,0.0017666355812957007,0.000899775,1.284936307335017e-05,770.3565,11.014566191409019
538.95,37.0,0.828,70.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031625000000000014,0.7963749999999999,0.8284435,0.0016498779809419933,0.000807323,1.2074037532584703e-05,858.5745,12.854563927354105
558.95,37.0,0.843,69.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031437500000000014,0.8115625,0.843763,0.0016475532962412956,0.000724669,1.2705746468385432e-05,956.502,16.861621108548967
578.95,37.0,0.857,78.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031937500000000014,0.8250624999999999,0.857595,0.001632098140083462,0.0006484605,1.3945522010557126e-05,1068.91,23.285455002586904
598.95,37.0,0.871,81.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.032312500000000015,0.8386875,0.869544,0.0017327862673347473,0.0005739779999999999,1.2846641081793844e-05,1207.62,27.30852372939425
618.95,37.0,0.878,77.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031625000000000014,0.846375,0.8806244999999999,0.0016337614110585113,0.0004999245,1.348033057367661e-05,1386.505,37.7200758211467
638.95,37.0,0.89,78.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031687500000000014,0.8583125,0.889677,0.0017784647047375491,0.0004227595,1.2609859848720563e-05,1639.58,49.291636212771664
658.95,37.0,0.895,85.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031812500000000014,0.8631875,0.8973245,0.0017662727141733617,0.0003460135,1.3494317672103378e-05,2003.235,78.56024929228774
678.95,37.0,0.902,92.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031375000000000014,0.870625,0.9034345,0.0016057419200680688,0.0002641805,1.40158479373766e-05,2623.7650000000003,138.46614346768027
698.95,37.0,0.908,80.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031812500000000014,0.8761875,0.9078820000000001,0.001653376112319543,0.0001828835,1.3785427380163685e-05,3790.105,288.0545144320121
718.95,37.0,0.914,92.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031875000000000014,0.882125,0.9108085,0.001758219114267332,0.00010485050000000001,1.2796526136748289e-05,6610.82,857.2491218832707
738.95,37.0,0.915,90.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031750000000000014,0.88325,0.9120809999999999,0.0017296654782861939,3.187245e-05,1.3330310968885116e-05,21607.75,29808.154714160897
758.95,37.0,0.914,76.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.032625000000000015,0.881375,0.912052,0.0017488239075034277,-3.17487e-05,1.309957659720079e-05,-21656.95,159571.688403123
778.95,37.1,0.91,87.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031812500000000014,0.8781875,0.9108835,0.001725087813995919,-8.544215e-05,1.3453128306178363e-05,-8112.469999999999,1336.1088010325097
798.95,37.1,0.908,94.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031437500000000014,0.8765625,0.908552,0.0017073448544320379,-0.0001281835,1.3555731241378247e-05,-5407.465,583.2380967281754
818.95,37.1,0.904,79.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031625000000000014,0.872375,0.9057645,0.0017020537582938518,-0.000156182,1.293287824245331e-05,-4438.0650000000005,364.6513531308731
838.95,37.1,0.901,80.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031437500000000014,0.8695625,0.9025259999999999,0.0017105877309633146,-0.0001736175,1.3579465471749683e-05,-3992.37,323.2907348029687
858.95,37.0,0.898,91.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031750000000000014,0.86625,0.8991285,0.0017249627886195746,-0.0001779885,1.2704534191633669e-05,-3894.34,285.7121677681851
878.95,37.0,0.895,88.0,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_uM_beta-thujaplicin,O1,0.0,CFP,20200708,1,0.031312500000000014,0.8636875,0.8956839999999999,0.0017872229761373738,-0.0001754235,1.3094395983695553e-05,-3951.2799999999997,302.7695811853184
