time_min,temp_C,OD600,YFP,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number
18.95,37.1,0.031,26.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
38.95,37.0,0.031,29.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
58.95,37.1,0.031,32.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
78.95,37.0,0.031,38.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
98.95,37.0,0.031,33.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
118.95,37.0,0.031,37.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
138.95,37.1,0.031,31.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
158.95,37.0,0.031,39.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
178.95,37.0,0.031,36.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
198.95,37.0,0.031,33.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
218.95,37.1,0.031,34.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
238.95,37.1,0.031,32.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
258.95,37.0,0.031,30.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
278.95,37.1,0.031,35.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
298.95,37.0,0.031,37.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
318.95,37.1,0.031,43.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
338.95,37.0,0.031,28.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
358.95,37.0,0.031,40.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
378.95,37.0,0.031,34.0,blank,B03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200708,1
