time_min,temp_C,OD600,strain,induction,well,media,pos_selection,neg_selection,operator,repressor,volume_marker,date,run_number
24.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
49.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
74.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
99.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
124.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
149.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
174.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
199.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
224.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
249.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
274.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
299.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
324.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
349.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
374.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
399.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
424.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
449.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
474.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
499.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
524.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
549.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
574.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
599.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
624.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
649.3,37.0,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
674.3,37.1,0.031,blank,0_uM_IPTG,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200730,1
